weight_cap,k_atr,turb_zscore_thr,turb_scale_min,vol_target_ann,fold,score_val,VAL_Sharpe,VAL_CAGR%,VAL_MaxDD%,VAL_SR_tstat,p_value,q_value,significant_5pct,significant_10pct,SR_above_HLZ_tmin,stat_label
0.55,3.0,1.5,0.25,0.35,1,1.7417762529653131,1.8774,50.278,-14.169,2.646,0.00815,0.090994,False,True,False,sig@10%_FDR_support
0.65,3.0,1.5,0.25,0.35,1,1.7406148916531539,1.8766,50.248,-14.169,2.645,0.00818,0.090994,False,True,False,sig@10%_FDR_support
0.55,3.0,1.5,0.4,0.35,1,1.7311450066289034,1.8635,50.321,-14.169,2.626,0.00863,0.090994,False,True,False,sig@10%_FDR_support
0.65,3.0,1.5,0.4,0.35,1,1.7295529684864261,1.8623,50.28,-14.169,2.625,0.00867,0.090994,False,True,False,sig@10%_FDR_support
0.55,3.0,1.0,0.4,0.35,1,1.6936043235384175,1.8852,48.322,-14.133,2.657,0.00789,0.090994,False,True,False,sig@10%_FDR_support
0.65,3.0,1.0,0.4,0.35,1,1.691991592673562,1.884,48.281,-14.133,2.655,0.00793,0.090994,False,True,False,sig@10%_FDR_support
0.55,3.0,1.0,0.25,0.35,1,1.6714162534891412,1.8767,47.374,-14.133,2.645,0.00817,0.090994,False,True,False,sig@10%_FDR_support
0.65,3.0,1.0,0.25,0.35,1,1.6704128808383925,1.8759,47.348,-14.133,2.644,0.0082,0.090994,False,True,False,sig@10%_FDR_support
0.55,3.0,1.5,0.25,0.3,1,1.6641295176125963,1.8246,45.488,-13.197,2.572,0.01012,0.090994,False,True,False,sig@10%_FDR_support
0.65,3.0,1.5,0.25,0.3,1,1.662923814393703,1.8236,45.459,-13.197,2.571,0.01015,0.090994,False,True,False,sig@10%_FDR_support
0.55,3.0,1.5,0.4,0.3,1,1.6512695427078063,1.8093,45.529,-13.197,2.55,0.01076,0.090994,False,True,False,sig@10%_FDR_support
0.65,3.0,1.5,0.4,0.3,1,1.6496174092253084,1.808,45.489,-13.197,2.549,0.01081,0.090994,False,True,False,sig@10%_FDR_support
0.55,3.0,1.0,0.4,0.3,1,1.6038117555028841,1.8253,43.576,-13.174,2.573,0.01009,0.090994,False,True,False,sig@10%_FDR_support
0.65,3.0,1.0,0.4,0.3,1,1.6021417323480733,1.8239,43.537,-13.174,2.571,0.01014,0.090994,False,True,False,sig@10%_FDR_support
0.55,3.0,1.0,0.25,0.3,1,1.5827068938374902,1.8168,42.658,-13.174,2.561,0.01044,0.090994,False,True,False,sig@10%_FDR_support
0.65,3.0,1.0,0.25,0.3,1,1.5816669343977903,1.816,42.634,-13.174,2.56,0.01047,0.090994,False,True,False,sig@10%_FDR_support
0.55,3.0,1.5,0.25,0.25,1,1.5810011003553022,1.7658,40.275,-12.091,2.489,0.01279,0.090994,False,True,False,sig@10%_FDR_support
0.65,3.0,1.5,0.25,0.25,1,1.5797301453532777,1.7648,40.247,-12.091,2.488,0.01284,0.090994,False,True,False,sig@10%_FDR_support
0.55,3.0,1.5,0.4,0.25,1,1.5645920974701533,1.7485,40.315,-12.091,2.465,0.01369,0.090994,False,True,False,sig@10%_FDR_support
0.65,3.0,1.5,0.4,0.25,1,1.5628520564648616,1.7472,40.277,-12.091,2.463,0.01376,0.090994,False,True,False,sig@10%_FDR_support
0.55,2.5,1.5,0.25,0.35,1,1.5441835492450082,1.7444,44.327,-14.199,2.46,0.01391,0.090994,False,True,False,sig@10%_FDR_support
0.65,2.5,1.5,0.25,0.35,1,1.5435122950989388,1.7439,44.31,-14.199,2.459,0.01394,0.090994,False,True,False,sig@10%_FDR_support
0.55,2.5,1.5,0.4,0.35,1,1.5395668885177063,1.7353,44.448,-14.199,2.447,0.01441,0.090994,False,True,False,sig@10%_FDR_support
0.65,2.5,1.5,0.4,0.35,1,1.5387479637613888,1.7347,44.428,-14.199,2.446,0.01445,0.090994,False,True,False,sig@10%_FDR_support
0.55,3.0,1.0,0.4,0.25,1,1.5220397683100537,1.7701,38.487,-12.061,2.496,0.01258,0.090994,False,True,False,sig@10%_FDR_support
0.65,3.0,1.0,0.4,0.25,1,1.5202719188733762,1.7686,38.449,-12.061,2.494,0.01265,0.090994,False,True,False,sig@10%_FDR_support
0.55,2.5,1.5,0.25,0.3,1,1.519033585237798,1.7192,41.306,-13.222,2.424,0.01534,0.090994,False,True,False,sig@10%_FDR_support
0.65,2.5,1.5,0.25,0.3,1,1.51833292489559,1.7187,41.289,-13.222,2.423,0.01537,0.090994,False,True,False,sig@10%_FDR_support
0.55,2.5,1.5,0.4,0.3,1,1.5127481844475084,1.7092,41.424,-13.222,2.41,0.01594,0.090994,False,True,False,sig@10%_FDR_support
0.65,2.5,1.5,0.4,0.3,1,1.5118920274082028,1.7085,41.404,-13.222,2.409,0.01599,0.090994,False,True,False,sig@10%_FDR_support
0.55,3.0,1.0,0.25,0.25,1,1.5034806908974554,1.7623,37.602,-12.061,2.485,0.01297,0.090994,False,True,False,sig@10%_FDR_support
0.65,3.0,1.0,0.25,0.25,1,1.5023780446355235,1.7614,37.578,-12.061,2.483,0.01301,0.090994,False,True,False,sig@10%_FDR_support
0.55,2.5,1.0,0.4,0.35,1,1.4929878624992377,1.7466,42.327,-14.15,2.463,0.01379,0.090994,False,True,False,sig@10%_FDR_support
0.65,2.5,1.0,0.4,0.35,1,1.4921558898659202,1.7459,42.307,-14.15,2.462,0.01383,0.090994,False,True,False,sig@10%_FDR_support
0.55,2.5,1.5,0.25,0.25,1,1.4884020716747401,1.6793,37.301,-11.995,2.368,0.01787,0.090994,False,True,False,sig@10%_FDR_support
0.65,2.5,1.5,0.25,0.25,1,1.4876527669697504,1.6787,37.285,-11.995,2.367,0.01791,0.090994,False,True,False,sig@10%_FDR_support
0.55,2.5,1.5,0.4,0.25,1,1.47882377993014,1.6679,37.416,-11.995,2.352,0.01866,0.090994,False,True,False,sig@10%_FDR_support
0.65,2.5,1.5,0.4,0.25,1,1.4779057503608262,1.6671,37.397,-11.995,2.351,0.01871,0.090994,False,True,False,sig@10%_FDR_support
0.55,2.5,1.0,0.25,0.35,1,1.4705932015386467,1.7365,41.487,-14.15,2.448,0.01435,0.090994,False,True,False,sig@10%_FDR_support
0.65,2.5,1.0,0.25,0.35,1,1.4700826912010057,1.7361,41.474,-14.15,2.448,0.01437,0.090994,False,True,False,sig@10%_FDR_support
0.65,2.0,1.5,0.4,0.35,1,1.4624436554415834,1.705,37.754,-11.684,2.404,0.0162,0.090994,False,True,False,sig@10%_FDR_support
0.55,2.0,1.5,0.4,0.35,1,1.4618397863189958,1.7045,37.74,-11.684,2.404,0.01624,0.090994,False,True,False,sig@10%_FDR_support
0.55,2.5,1.0,0.4,0.3,1,1.4536298321145138,1.7135,39.356,-13.204,2.416,0.01568,0.090994,False,True,False,sig@10%_FDR_support
0.65,2.5,1.0,0.4,0.3,1,1.452764541671421,1.7128,39.336,-13.204,2.415,0.01573,0.090994,False,True,False,sig@10%_FDR_support
