vol_target_ann,weight_cap,Sharpe,CAGR%,MaxDD%
0.2,0.45,1.0237,19.15,-29.09
0.2,0.5,1.0308,19.32,-28.83
0.2,0.55,1.036,19.44,-28.61
0.2,0.6,1.0409,19.55,-28.42
0.2,0.65,1.0467,19.67,-28.25
0.25,0.45,1.0033,21.76,-31.45
0.25,0.5,1.0097,21.93,-31.13
0.25,0.55,1.0155,22.06,-30.87
0.25,0.6,1.0204,22.18,-30.65
0.25,0.65,1.0258,22.32,-30.45
0.3,0.45,0.9985,23.26,-32.76
0.3,0.5,1.0057,23.42,-32.4
0.3,0.55,1.0108,23.53,-32.11
0.3,0.6,1.0151,23.64,-31.84
0.3,0.65,1.0198,23.77,-31.6
0.35,0.45,0.9709,23.01,-32.84
0.35,0.5,0.9783,23.18,-32.47
0.35,0.55,0.9836,23.3,-32.16
0.35,0.6,0.9883,23.42,-31.89
0.35,0.65,0.9932,23.56,-31.64
0.4,0.45,0.952,22.57,-32.84
0.4,0.5,0.9603,22.77,-32.47
0.4,0.55,0.9668,22.91,-32.16
0.4,0.6,0.9722,23.05,-31.89
0.4,0.65,0.9774,23.2,-31.64
