ticker,eligible,reason,liq_size_proxy,addv_proxy,vol_coverage,in_universe,recon_date,prior_member,entered,exited
AAPL,True,eligible,5305730235.585848,5221562822.265371,1.0,True,2011-04-01,True,False,False
GOOGL,True,eligible,1545796562.6211822,1563515820.5614552,1.0,True,2011-04-01,True,False,False
NFLX,True,eligible,1316417359.6382778,1209740748.7300239,1.0,True,2011-04-01,True,False,False
MSFT,True,eligible,1139302244.2348354,1260633510.4060822,1.0,True,2011-04-01,True,False,False
AMZN,True,eligible,887348391.5402094,935458148.8460662,1.0,True,2011-04-01,True,False,False
INTC,True,eligible,834667534.3414465,866383388.5081336,1.0,True,2011-04-01,True,False,False
QCOM,True,eligible,661016831.8262354,632412268.8742502,1.0,True,2011-04-01,True,False,False
NVDA,True,eligible,539843830.5124521,664821170.4537624,1.0,True,2011-04-01,False,True,False
MU,True,eligible,465670459.29926234,448970730.896644,1.0,True,2011-04-01,True,False,False
CRM,True,eligible,441860017.50239056,384268722.75142366,1.0,True,2011-04-01,True,False,False
AMAT,True,eligible,233390249.375693,227314481.9870767,1.0,False,2011-04-01,False,False,False
ADBE,True,eligible,226043962.05964407,207498269.97102708,1.0,False,2011-04-01,True,False,True
AMD,True,eligible,187176040.0891272,225162370.79320636,1.0,False,2011-04-01,False,False,False
TSM,True,eligible,131981869.73251979,134149872.08705479,1.0,False,2011-04-01,False,False,False
LRCX,True,eligible,87809137.36410141,92983664.04281344,1.0,False,2011-04-01,False,False,False
ASML,True,eligible,64955875.599539824,91897298.43046103,1.0,False,2011-04-01,False,False,False
ARM,False,seasoning_fail,0.0,0.0,,False,2011-04-01,False,False,False
META,False,seasoning_fail,0.0,0.0,,False,2011-04-01,False,False,False
AVGO,False,addv_fail,0.0,49754083.059695035,,False,2011-04-01,False,False,False
PLTR,False,seasoning_fail,0.0,0.0,,False,2011-04-01,False,False,False
NOW,False,seasoning_fail,0.0,0.0,,False,2011-04-01,False,False,False
SHOP,False,seasoning_fail,0.0,0.0,,False,2011-04-01,False,False,False
SMCI,False,addv_fail,0.0,3078173.2306347955,,False,2011-04-01,False,False,False
