ticker,eligible,reason,liq_size_proxy,addv_proxy,vol_coverage,in_universe,recon_date,prior_member,entered,exited
AAPL,True,eligible,3781706038.926277,5289518213.896688,1.0,True,2012-01-01,True,False,False
GOOGL,True,eligible,1608150611.6606417,1791846417.8130848,1.0,True,2012-01-01,True,False,False
AMZN,True,eligible,1233784367.4194336,1368147191.2581127,1.0,True,2012-01-01,True,False,False
MSFT,True,eligible,983530347.4625587,1054174773.7396452,1.0,True,2012-01-01,True,False,False
INTC,True,eligible,798317229.3189017,951050465.4146194,1.0,True,2012-01-01,True,False,False
QCOM,True,eligible,462007614.05483246,547041960.3703998,1.0,True,2012-01-01,True,False,False
NFLX,True,eligible,461146737.71633106,710574553.130779,1.0,True,2012-01-01,True,False,False
CRM,True,eligible,429076800.2113342,369064571.6460697,1.0,True,2012-01-01,True,False,False
NVDA,True,eligible,186585688.41406903,214876187.06609142,1.0,True,2012-01-01,True,False,False
MU,True,eligible,170978572.5863854,177304027.50004587,1.0,True,2012-01-01,True,False,False
ADBE,True,eligible,150954834.107488,181291085.7835376,1.0,False,2012-01-01,False,False,False
AMAT,True,eligible,141442059.85638618,138376840.68261254,1.0,False,2012-01-01,False,False,False
LRCX,True,eligible,116857639.84633286,106830982.18566652,1.0,False,2012-01-01,False,False,False
TSM,True,eligible,96063396.65911357,99921348.78072663,1.0,False,2012-01-01,False,False,False
AMD,True,eligible,67222768.48635833,92569579.03824005,1.0,False,2012-01-01,False,False,False
ASML,True,eligible,66191810.26663208,82019864.14891094,1.0,False,2012-01-01,False,False,False
AVGO,True,eligible,61856064.06342188,62602840.354382046,1.0,False,2012-01-01,False,False,False
ARM,False,not_live_yet<2023-09-14>,0.0,0.0,,False,2012-01-01,False,False,False
META,False,seasoning_fail,0.0,0.0,,False,2012-01-01,False,False,False
PLTR,False,seasoning_fail,0.0,0.0,,False,2012-01-01,False,False,False
NOW,False,seasoning_fail,0.0,0.0,,False,2012-01-01,False,False,False
SHOP,False,seasoning_fail,0.0,0.0,,False,2012-01-01,False,False,False
SMCI,False,addv_fail,0.0,2397550.000056388,,False,2012-01-01,False,False,False
