vol_target_ann,weight_cap,Sharpe,CAGR%,MaxDD%
0.2,0.45,1.2535,23.29,-18.51
0.2,0.5,1.2618,23.44,-18.51
0.2,0.55,1.2731,23.65,-18.31
0.2,0.6,1.2812,23.8,-18.12
0.2,0.65,1.2838,23.85,-17.95
0.25,0.45,1.2405,26.83,-21.22
0.25,0.5,1.254,27.1,-21.11
0.25,0.55,1.2677,27.4,-20.84
0.25,0.6,1.2775,27.61,-20.6
0.25,0.65,1.2805,27.68,-20.38
0.3,0.45,1.2276,28.62,-22.11
0.3,0.5,1.2427,28.96,-21.89
0.3,0.55,1.2568,29.32,-21.59
0.3,0.6,1.2669,29.57,-21.32
0.3,0.65,1.2702,29.66,-21.08
0.35,0.45,1.2116,28.93,-22.11
0.35,0.5,1.2271,29.29,-21.89
0.35,0.55,1.2409,29.65,-21.59
0.35,0.6,1.2507,29.92,-21.32
0.35,0.65,1.2541,30.02,-21.08
0.4,0.45,1.2011,28.78,-22.11
0.4,0.5,1.2166,29.15,-21.89
0.4,0.55,1.2302,29.5,-21.59
0.4,0.6,1.2397,29.76,-21.32
0.4,0.65,1.243,29.86,-21.08
