ticker,eligible,reason,liq_size_proxy,addv_proxy,vol_coverage,in_universe,recon_date,prior_member,entered,exited
NVDA,True,eligible,49831687449.49826,43102999461.04736,1.0,True,2024-07-01,True,False,False
AAPL,True,eligible,15262390522.413889,12939801930.621315,1.0,True,2024-07-01,True,False,False
AMD,True,eligible,8562939739.747467,8414875417.929464,1.0,True,2024-07-01,True,False,False
MSFT,True,eligible,8098866855.649516,7904579512.648519,1.0,True,2024-07-01,True,False,False
AMZN,True,eligible,7477251012.063853,7690891151.78259,1.0,True,2024-07-01,True,False,False
AVGO,True,eligible,6829312996.884664,4811089407.974849,1.0,True,2024-07-01,True,False,False
SMCI,True,eligible,5803516530.112966,5470744315.183246,1.0,True,2024-07-01,True,False,False
META,True,eligible,5720638298.014323,7187627897.52764,1.0,True,2024-07-01,True,False,False
GOOGL,True,eligible,4103667651.0154724,4369832008.884927,1.0,True,2024-07-01,True,False,False
MU,True,eligible,3242778918.036321,2806843121.101452,1.0,True,2024-07-01,False,True,False
CRM,True,eligible,2846494678.101349,2053134822.3220825,1.0,False,2024-07-01,False,False,False
TSM,True,eligible,2384642223.861796,2162164806.116837,1.0,False,2024-07-01,False,False,False
QCOM,True,eligible,2348556752.135264,1813952317.1281602,1.0,False,2024-07-01,False,False,False
ADBE,True,eligible,2080319019.03066,1717419934.048268,1.0,False,2024-07-01,True,False,True
NFLX,True,eligible,1902372876.8700917,2127568005.856953,1.0,False,2024-07-01,False,False,False
ARM,True,eligible,1651037078.8440704,1324136547.3205082,1.0,False,2024-07-01,False,False,False
INTC,True,eligible,1267789285.2865918,1570064788.972706,1.0,False,2024-07-01,False,False,False
AMAT,True,eligible,1259008231.9510906,1071187649.5421636,1.0,False,2024-07-01,False,False,False
NOW,True,eligible,1064619124.4791666,966066355.0693573,1.0,False,2024-07-01,False,False,False
ASML,True,eligible,985863989.0838623,978097669.1387843,1.0,False,2024-07-01,False,False,False
LRCX,True,eligible,980388923.4891256,917608627.4906945,1.0,False,2024-07-01,False,False,False
PLTR,True,eligible,879922282.4158732,955639709.6115324,1.0,False,2024-07-01,False,False,False
SHOP,True,eligible,634442018.1459299,702923810.9601945,1.0,False,2024-07-01,False,False,False
