ticker,eligible,reason,liq_size_proxy,addv_proxy,vol_coverage,in_universe,recon_date,prior_member,entered,exited
AAPL,True,eligible,2889002817.5679398,3028715882.0028095,1.0,True,2010-01-01,True,False,False
AMZN,True,eligible,1162934176.5758832,1227268037.7865746,1.0,True,2010-01-01,True,False,False
GOOGL,True,eligible,1119703231.2409024,1390854229.0939589,1.0,True,2010-01-01,True,False,False
MSFT,True,eligible,941355996.3684654,1139725263.6645937,1.0,True,2010-01-01,True,False,False
INTC,True,eligible,625369643.1668091,779884635.2540985,1.0,True,2010-01-01,True,False,False
QCOM,True,eligible,331809585.8103879,444278700.5124198,1.0,True,2010-01-01,True,False,False
AMD,True,eligible,241843261.50010267,215599524.83496818,1.0,True,2010-01-01,False,True,False
NVDA,True,eligible,241289078.89291444,228700248.7907618,1.0,True,2010-01-01,True,False,False
MU,True,eligible,213362334.74839845,205789424.72083756,1.0,False,2010-01-01,False,False,False
ADBE,True,eligible,164997547.88471222,182215607.57159278,1.0,True,2010-01-01,True,False,False
AMAT,True,eligible,156502433.5148112,184525190.98255217,1.0,True,2010-01-01,True,False,False
CRM,True,eligible,112192474.49306488,105141945.264786,1.0,False,2010-01-01,True,False,True
TSM,True,eligible,81362800.97910404,122931483.6868059,1.0,False,2010-01-01,False,False,False
NFLX,True,eligible,63134247.02254733,69019251.90071927,1.0,False,2010-01-01,False,False,False
LRCX,True,eligible,53191258.194096886,72532640.57511374,1.0,False,2010-01-01,False,False,False
ASML,False,addv_fail,0.0,44671439.45478037,,False,2010-01-01,False,False,False
ARM,False,not_live_yet<2023-09-14>,0.0,0.0,,False,2010-01-01,False,False,False
META,False,seasoning_fail,0.0,0.0,,False,2010-01-01,False,False,False
AVGO,False,addv_fail,0.0,5269177.302394594,,False,2010-01-01,False,False,False
PLTR,False,seasoning_fail,0.0,0.0,,False,2010-01-01,False,False,False
NOW,False,seasoning_fail,0.0,0.0,,False,2010-01-01,False,False,False
SHOP,False,seasoning_fail,0.0,0.0,,False,2010-01-01,False,False,False
SMCI,False,addv_fail,0.0,1240095.0214314081,,False,2010-01-01,False,False,False
