ticker,eligible,reason,liq_size_proxy,addv_proxy,vol_coverage,in_universe,recon_date,prior_member,entered,exited
GOOGL,True,eligible,4101828158.0685096,3625643951.044204,1.0,True,2006-01-01,True,False,False
AAPL,True,eligible,1329502849.0018175,1334161002.2163072,1.0,True,2006-01-01,True,False,False
MSFT,True,eligible,1205116778.716081,1211182033.0517814,1.0,True,2006-01-01,True,False,False
INTC,True,eligible,828960979.8930041,788667389.5518031,1.0,True,2006-01-01,True,False,False
AMZN,True,eligible,423091798.66833687,352888207.54531455,1.0,True,2006-01-01,True,False,False
QCOM,True,eligible,344809031.21213275,420660027.9415827,1.0,True,2006-01-01,True,False,False
AMD,True,eligible,279977183.2831128,278671172.2742686,1.0,True,2006-01-01,True,False,False
ADBE,True,eligible,277736105.0643794,228492286.99687776,1.0,True,2006-01-01,True,False,False
AMAT,True,eligible,267196232.99828848,262510118.89555037,1.0,True,2006-01-01,True,False,False
MU,True,eligible,133784923.34397952,137561799.0673928,1.0,False,2006-01-01,False,False,False
NVDA,True,eligible,117647848.0563879,127088062.94640473,1.0,True,2006-01-01,True,False,False
LRCX,True,eligible,66600848.99120331,80891828.59225878,1.0,False,2006-01-01,False,False,False
ARM,False,seasoning_fail,0.0,0.0,,False,2006-01-01,False,False,False
ASML,False,addv_fail,0.0,32177652.507556234,,False,2006-01-01,False,False,False
CRM,False,addv_fail,0.0,44828410.50965748,,False,2006-01-01,False,False,False
META,False,seasoning_fail,0.0,0.0,,False,2006-01-01,False,False,False
AVGO,False,seasoning_fail,0.0,0.0,,False,2006-01-01,False,False,False
NOW,False,seasoning_fail,0.0,0.0,,False,2006-01-01,False,False,False
NFLX,False,addv_fail,0.0,40722494.76634462,,False,2006-01-01,False,False,False
PLTR,False,seasoning_fail,0.0,0.0,,False,2006-01-01,False,False,False
SHOP,False,seasoning_fail,0.0,0.0,,False,2006-01-01,False,False,False
SMCI,False,seasoning_fail,0.0,0.0,,False,2006-01-01,False,False,False
TSM,False,addv_fail,0.0,41896242.30823295,,False,2006-01-01,False,False,False
