ticker,eligible,reason,liq_size_proxy,addv_proxy,vol_coverage,in_universe,recon_date,prior_member,entered,exited
AAPL,True,eligible,3084778798.799108,3316194129.062495,1.0,True,2017-04-01,True,False,False
AMZN,True,eligible,2351612598.3291626,2727048480.428181,1.0,True,2017-04-01,True,False,False
META,True,eligible,2097659176.678009,2351505299.9787226,1.0,True,2017-04-01,True,False,False
NVDA,True,eligible,1686510933.146159,1787900090.7302282,1.0,True,2017-04-01,True,False,False
MSFT,True,eligible,1230551259.087003,1326275096.9372401,1.0,True,2017-04-01,True,False,False
GOOGL,True,eligible,1229019716.9670105,1317362064.370776,1.0,True,2017-04-01,True,False,False
AMD,True,eligible,1053301713.3055115,870042038.5824642,1.0,True,2017-04-01,False,True,False
MU,True,eligible,739127351.4515558,644451660.5521308,1.0,True,2017-04-01,True,False,False
INTC,True,eligible,680472302.8694471,705465521.7303805,1.0,True,2017-04-01,True,False,False
NFLX,True,eligible,658697496.1390814,856916844.6955606,1.0,True,2017-04-01,True,False,False
AVGO,True,eligible,485850656.2373479,456825064.1745764,1.0,False,2017-04-01,False,False,False
QCOM,True,eligible,397679342.66270953,567057684.3977731,1.0,False,2017-04-01,True,False,True
CRM,True,eligible,374465428.92397565,368891414.0285795,1.0,False,2017-04-01,False,False,False
ADBE,True,eligible,310800087.5147756,282268396.3582478,1.0,False,2017-04-01,False,False,False
AMAT,True,eligible,302956737.9322052,302441041.0848981,1.0,False,2017-04-01,False,False,False
LRCX,True,eligible,167652504.29681143,177604171.87892067,1.0,False,2017-04-01,False,False,False
TSM,True,eligible,145313070.1371193,159874946.75132206,1.0,False,2017-04-01,False,False,False
ASML,True,eligible,117930832.07316081,115576249.42089263,1.0,False,2017-04-01,False,False,False
NOW,True,eligible,115787026.07282002,130739577.56986316,1.0,False,2017-04-01,False,False,False
SHOP,True,eligible,92818443.67426236,80357219.56383993,1.0,False,2017-04-01,False,False,False
ARM,False,not_live_yet<2023-09-14>,0.0,0.0,,False,2017-04-01,False,False,False
PLTR,False,seasoning_fail,0.0,0.0,,False,2017-04-01,False,False,False
SMCI,False,addv_fail,0.0,9550254.146818131,,False,2017-04-01,False,False,False
