feature,importance,model,fold
base_total_scale,0.10606476104846635,fragility,1
avg_corr_21,0.0857314135838714,fragility,1
turb_scale_weekly,0.08443528466507876,fragility,1
mom_mean,0.0745955140350996,fragility,1
rel_minus_mom,0.053708208831140546,fragility,1
stress_intensity,0.05310377914637454,fragility,1
base_exposure,0.05065276259686335,fragility,1
qqq_ret_21d,0.048005155263241624,fragility,1
recovery_intensity,0.04424445373895201,fragility,1
rel_minus_trend,0.04301963206251072,fragility,1
intensity_spread,0.037944006646323684,fragility,1
rel_top_mean,0.03464497777602371,fragility,1
qqq_drawdown,0.03320993699410529,fragility,1
avg_corr_63,0.03316175367292625,fragility,1
qqq_vol_21,0.03265695821771679,fragility,1
base_turnover,0.03176967011467684,fragility,1
rel_mean,0.02759781163348205,fragility,1
trend_mean,0.02663683960677893,fragility,1
breadth_63d,0.025295446951155633,fragility,1
vix_level,0.020859716122325542,fragility,1
xs_disp_21d,0.015593242132347198,fragility,1
vix_z_63,0.012787764221937906,fragility,1
xs_disp_5d,0.012663619488028603,fragility,1
qqq_ret_5d,0.0105245882346193,fragility,1
crisis_scale_weekly,0.0008507372327892149,fragility,1
crisis_state_weekly,0.00024196598316430094,fragility,1
corr_state_weekly,0.0,fragility,1
corr_scale_weekly,0.0,fragility,1
intensity_spread,0.1684564631734177,recovery,1
base_total_scale,0.1549013800354333,recovery,1
rel_minus_mom,0.08669028891289494,recovery,1
trend_mean,0.0847684096203454,recovery,1
recovery_intensity,0.08018130334316645,recovery,1
turb_scale_weekly,0.07774004578187037,recovery,1
stress_intensity,0.07102355616841985,recovery,1
rel_minus_trend,0.0632277350073304,recovery,1
base_exposure,0.05716726282077919,recovery,1
mom_mean,0.04284758316299757,recovery,1
avg_corr_63,0.01558735920571193,recovery,1
qqq_drawdown,0.01492509557539451,recovery,1
qqq_vol_21,0.014165212931552271,recovery,1
vix_level,0.008108395940270742,recovery,1
rel_top_mean,0.007701958366701874,recovery,1
xs_disp_5d,0.00743764368604306,recovery,1
qqq_ret_5d,0.007035846615266029,recovery,1
qqq_ret_21d,0.007024742641686774,recovery,1
avg_corr_21,0.006644960133697305,recovery,1
vix_z_63,0.00560035425162629,recovery,1
rel_mean,0.005462275843393221,recovery,1
breadth_63d,0.004819745811414549,recovery,1
base_turnover,0.004428873835955,recovery,1
xs_disp_21d,0.003675975029540001,recovery,1
crisis_scale_weekly,0.00031078048814312247,recovery,1
crisis_state_weekly,6.675161694822364e-05,recovery,1
corr_state_weekly,0.0,recovery,1
corr_scale_weekly,0.0,recovery,1
base_total_scale,0.11632675125695308,fragility,2
turb_scale_weekly,0.10912122995589438,fragility,2
intensity_spread,0.07549820828760201,fragility,2
avg_corr_21,0.06454106942961266,fragility,2
base_exposure,0.061328453876966046,fragility,2
recovery_intensity,0.06041568515558627,fragility,2
stress_intensity,0.05518500019853532,fragility,2
avg_corr_63,0.044088529296171165,fragility,2
base_turnover,0.04253473033599965,fragility,2
xs_disp_21d,0.03974016891031551,fragility,2
rel_minus_mom,0.03471301606966591,fragility,2
rel_minus_trend,0.029637354566092046,fragility,2
rel_top_mean,0.02681167546792282,fragility,2
qqq_vol_21,0.02553208938296257,fragility,2
xs_disp_5d,0.025252334463342612,fragility,2
mom_mean,0.02486074170809124,fragility,2
trend_mean,0.024400043262908316,fragility,2
qqq_ret_21d,0.024038771307423837,fragility,2
vix_z_63,0.02293578377961189,fragility,2
rel_mean,0.021222732261421462,fragility,2
breadth_63d,0.01696872282416466,fragility,2
qqq_ret_5d,0.016795608020233648,fragility,2
vix_level,0.016403177818367285,fragility,2
qqq_drawdown,0.0155334860795069,fragility,2
crisis_scale_weekly,0.0030811432475006386,fragility,2
crisis_state_weekly,0.0030334930371480762,fragility,2
corr_state_weekly,0.0,fragility,2
corr_scale_weekly,0.0,fragility,2
base_total_scale,0.17772547222206403,recovery,2
intensity_spread,0.17436821808033498,recovery,2
recovery_intensity,0.09946725182305287,recovery,2
base_exposure,0.08511744934913254,recovery,2
rel_minus_mom,0.08031649044796826,recovery,2
turb_scale_weekly,0.06669409077171885,recovery,2
stress_intensity,0.0629714140165873,recovery,2
avg_corr_63,0.050055479679348557,recovery,2
mom_mean,0.0350966959331503,recovery,2
trend_mean,0.02468626499627929,recovery,2
qqq_vol_21,0.017677818087039325,recovery,2
avg_corr_21,0.01716955228790707,recovery,2
rel_minus_trend,0.016496633097783292,recovery,2
vix_level,0.010230497521330255,recovery,2
crisis_scale_weekly,0.010216543707821747,recovery,2
qqq_ret_5d,0.008945318709902852,recovery,2
qqq_ret_21d,0.008816980573557088,recovery,2
vix_z_63,0.007518252110277055,recovery,2
qqq_drawdown,0.007433680362443874,recovery,2
rel_mean,0.0066283513513523094,recovery,2
rel_top_mean,0.006228211678121912,recovery,2
breadth_63d,0.0060383455564260394,recovery,2
crisis_state_weekly,0.005660391380097917,recovery,2
xs_disp_5d,0.005353618052856399,recovery,2
xs_disp_21d,0.004917585196551632,recovery,2
base_turnover,0.003929529809473604,recovery,2
corr_state_weekly,0.00023986319742057242,recovery,2
corr_scale_weekly,0.0,recovery,2
base_total_scale,0.08924617641663621,fragility,3
intensity_spread,0.0836222128900915,fragility,3
base_turnover,0.07840831581157903,fragility,3
turb_scale_weekly,0.07717250236310615,fragility,3
rel_minus_mom,0.0767235771217258,fragility,3
base_exposure,0.05192036403828245,fragility,3
mom_mean,0.05083084917004196,fragility,3
recovery_intensity,0.05016439689224422,fragility,3
avg_corr_63,0.0476288466182222,fragility,3
rel_mean,0.039485355934996975,fragility,3
qqq_vol_21,0.037126807541481996,fragility,3
stress_intensity,0.035595475914429076,fragility,3
rel_minus_trend,0.032023801223529075,fragility,3
vix_level,0.02822210334307871,fragility,3
avg_corr_21,0.026006315817311887,fragility,3
