feature,importance,fold
base_total_scale,0.10606476104846635,1
avg_corr_21,0.0857314135838714,1
turb_scale_weekly,0.08443528466507876,1
mom_mean,0.0745955140350996,1
rel_minus_mom,0.053708208831140546,1
stress_intensity,0.05310377914637454,1
base_exposure,0.05065276259686335,1
qqq_ret_21d,0.048005155263241624,1
recovery_intensity,0.04424445373895201,1
rel_minus_trend,0.04301963206251072,1
intensity_spread,0.037944006646323684,1
rel_top_mean,0.03464497777602371,1
qqq_drawdown,0.03320993699410529,1
avg_corr_63,0.03316175367292625,1
qqq_vol_21,0.03265695821771679,1
base_turnover,0.03176967011467684,1
rel_mean,0.02759781163348205,1
trend_mean,0.02663683960677893,1
breadth_63d,0.025295446951155633,1
vix_level,0.020859716122325542,1
xs_disp_21d,0.015593242132347198,1
vix_z_63,0.012787764221937906,1
xs_disp_5d,0.012663619488028603,1
qqq_ret_5d,0.0105245882346193,1
crisis_scale_weekly,0.0008507372327892149,1
crisis_state_weekly,0.00024196598316430094,1
corr_state_weekly,0.0,1
corr_scale_weekly,0.0,1
base_total_scale,0.11632675125695308,2
turb_scale_weekly,0.10912122995589438,2
intensity_spread,0.07549820828760201,2
avg_corr_21,0.06454106942961266,2
base_exposure,0.061328453876966046,2
recovery_intensity,0.06041568515558627,2
stress_intensity,0.05518500019853532,2
avg_corr_63,0.044088529296171165,2
base_turnover,0.04253473033599965,2
xs_disp_21d,0.03974016891031551,2
rel_minus_mom,0.03471301606966591,2
rel_minus_trend,0.029637354566092046,2
rel_top_mean,0.02681167546792282,2
qqq_vol_21,0.02553208938296257,2
xs_disp_5d,0.025252334463342612,2
mom_mean,0.02486074170809124,2
trend_mean,0.024400043262908316,2
qqq_ret_21d,0.024038771307423837,2
vix_z_63,0.02293578377961189,2
rel_mean,0.021222732261421462,2
breadth_63d,0.01696872282416466,2
qqq_ret_5d,0.016795608020233648,2
vix_level,0.016403177818367285,2
qqq_drawdown,0.0155334860795069,2
crisis_scale_weekly,0.0030811432475006386,2
crisis_state_weekly,0.0030334930371480762,2
corr_state_weekly,0.0,2
corr_scale_weekly,0.0,2
base_total_scale,0.08924617641663621,3
intensity_spread,0.0836222128900915,3
base_turnover,0.07840831581157903,3
turb_scale_weekly,0.07717250236310615,3
rel_minus_mom,0.0767235771217258,3
base_exposure,0.05192036403828245,3
mom_mean,0.05083084917004196,3
recovery_intensity,0.05016439689224422,3
avg_corr_63,0.0476288466182222,3
rel_mean,0.039485355934996975,3
qqq_vol_21,0.037126807541481996,3
stress_intensity,0.035595475914429076,3
rel_minus_trend,0.032023801223529075,3
vix_level,0.02822210334307871,3
avg_corr_21,0.026006315817311887,3
breadth_63d,0.02598223086973519,3
qqq_ret_21d,0.0243338355606218,3
rel_top_mean,0.022955171376712203,3
qqq_drawdown,0.02248406850076169,3
trend_mean,0.01749279486306288,3
xs_disp_21d,0.01735552273718117,3
xs_disp_5d,0.01640335882495885,3
vix_z_63,0.014800047328343923,3
qqq_ret_5d,0.013384412280670645,3
crisis_scale_weekly,0.010605629149110316,3
crisis_state_weekly,0.01002582741208398,3
corr_state_weekly,1.1259314738557925e-16,3
corr_scale_weekly,1.5924032546065177e-18,3
base_turnover,0.0867194955267403,4
intensity_spread,0.0823697408890486,4
turb_scale_weekly,0.08189787923643427,4
rel_minus_mom,0.07920956426380357,4
base_total_scale,0.07811706828478833,4
base_exposure,0.055445567443990304,4
stress_intensity,0.050491969999125155,4
qqq_vol_21,0.04648838030324231,4
mom_mean,0.04425642793160501,4
avg_corr_63,0.04298985501434685,4
avg_corr_21,0.038611892068799065,4
rel_mean,0.03338561250589929,4
vix_level,0.0333310733098964,4
rel_minus_trend,0.030987159652649653,4
recovery_intensity,0.02614085070558963,4
rel_top_mean,0.026126571633462124,4
qqq_drawdown,0.02541262147593139,4
trend_mean,0.020730973106056587,4
xs_disp_5d,0.017850048698489274,4
qqq_ret_5d,0.01683969485052938,4
xs_disp_21d,0.015426574241619478,4
breadth_63d,0.015195071825272702,4
crisis_state_weekly,0.013980666718392395,4
crisis_scale_weekly,0.013644600436104501,4
qqq_ret_21d,0.013142125103400267,4
vix_z_63,0.010965356920813416,4
corr_scale_weekly,0.00024315785396981766,4
corr_state_weekly,0.0,4
rel_minus_mom,0.0871942367493815,5
intensity_spread,0.08667368681610786,5
base_total_scale,0.08193524327350292,5
base_exposure,0.07649307301200182,5
mom_mean,0.06523425754029107,5
stress_intensity,0.06387225714325694,5
turb_scale_weekly,0.05795166476501607,5
avg_corr_63,0.046114346877743594,5
base_turnover,0.04372101313483742,5
qqq_vol_21,0.03745978085385625,5
rel_minus_trend,0.03693652914022588,5
vix_level,0.03565085944152364,5
recovery_intensity,0.03442086636501071,5
qqq_drawdown,0.03155384131530761,5
rel_mean,0.027678765059232,5
avg_corr_21,0.027158969138665966,5
rel_top_mean,0.026560628865008037,5
qqq_ret_21d,0.025479973150152175,5
trend_mean,0.022902980253848272,5
vix_z_63,0.0196288416638168,5
xs_disp_21d,0.01751824263235127,5
breadth_63d,0.014600785612514516,5
qqq_ret_5d,0.013707230085447211,5
xs_disp_5d,0.011827999709653998,5
crisis_scale_weekly,0.003786898615384877,5
corr_scale_weekly,0.0022807070141870564,5
crisis_state_weekly,0.0011260520178266367,5
corr_state_weekly,0.0005302697538480468,5
