Date,IC_composite_1d,IC_composite_5d,IC_composite_21d
2005-01-03,0.0,0.0,0.0
2005-01-04,0.0,0.0,0.0
2005-01-05,0.0,0.0,0.0
2005-01-06,0.0,0.0,0.0
2005-01-07,0.0,0.0,0.0
2005-01-10,0.0,0.0,0.0
2005-01-11,0.0,0.0,0.0
2005-01-12,0.0,0.0,0.0
2005-01-13,0.0,0.0,0.0
2005-01-14,0.0,0.0,0.0
2005-01-18,0.0,0.0,0.0
2005-01-19,0.0,0.0,0.0
2005-01-20,0.0,0.0,0.0
2005-01-21,0.0,0.0,0.0
2005-01-24,0.0,0.0,0.0
2005-01-25,0.0,0.0,0.0
2005-01-26,0.0,0.0,0.0
2005-01-27,0.0,0.0,0.0
2005-01-28,0.0,0.0,0.0
2005-01-31,0.0,0.0,0.0
2005-02-01,0.0,0.0,0.0
2005-02-02,0.0,0.0,0.0
2005-02-03,0.0,0.0,0.0
2005-02-04,0.0,0.0,0.0
2005-02-07,0.0,0.0,0.0
2005-02-08,0.0,0.0,0.0
2005-02-09,0.0,0.0,0.0
2005-02-10,0.0,0.0,0.0
2005-02-11,0.0,0.0,0.0
2005-02-14,0.0,0.0,0.0
2005-02-15,0.0,0.0,0.0
2005-02-16,0.0,0.0,0.0
2005-02-17,0.0,0.0,0.0
2005-02-18,0.0,0.0,0.0
2005-02-22,0.0,0.0,0.0
2005-02-23,0.0,0.0,0.0
2005-02-24,0.0,0.0,0.0
2005-02-25,0.0,0.0,0.0
2005-02-28,0.0,0.0,0.0
2005-03-01,0.0,0.0,0.0
2005-03-02,0.0,0.0,0.0
2005-03-03,0.0,0.0,0.0
2005-03-04,0.0,0.0,0.0
2005-03-07,0.0,0.0,0.0
2005-03-08,0.0,0.0,0.0
2005-03-09,0.0,0.0,0.0
2005-03-10,0.0,0.0,0.0
2005-03-11,0.0,0.0,0.0
2005-03-14,0.0,0.0,0.0
2005-03-15,0.0,0.0,0.0
2005-03-16,0.0,0.0,0.0
2005-03-17,0.0,0.0,0.0
2005-03-18,0.0,0.0,0.0
2005-03-21,0.0,0.0,0.0
2005-03-22,0.0,0.0,0.0
2005-03-23,0.0,0.0,0.0
2005-03-24,0.0,0.0,0.0
2005-03-28,0.0,0.0,0.0
2005-03-29,0.0,0.0,0.0
2005-03-30,0.0,0.0,0.0
2005-03-31,0.0,0.0,0.0
2005-04-01,0.0,0.0,0.0
2005-04-04,0.0,0.0,0.0
2005-04-05,0.0,0.0,0.0
2005-04-06,0.0,0.0,0.0
2005-04-07,0.0,0.0,0.0
2005-04-08,0.0,0.0,0.0
2005-04-11,0.0,0.0,0.0
2005-04-12,0.0,0.0,0.0
2005-04-13,0.0,0.0,0.0
2005-04-14,0.0,0.0,0.0
2005-04-15,0.0,0.0,0.0
2005-04-18,0.0,0.0,0.0
2005-04-19,0.0,0.0,0.0
2005-04-20,0.0,0.0,0.0
2005-04-21,0.0,0.0,0.0
2005-04-22,0.0,0.0,0.0
2005-04-25,0.0,0.0,0.0
2005-04-26,0.0,0.0,0.0
2005-04-27,0.0,0.0,0.0
2005-04-28,0.0,0.0,0.0
2005-04-29,0.0,0.0,0.0
2005-05-02,0.0,0.0,0.0
2005-05-03,0.0,0.0,0.0
2005-05-04,0.0,0.0,0.0
2005-05-05,0.0,0.0,0.0
2005-05-06,0.0,0.0,0.0
2005-05-09,0.0,0.0,0.0
2005-05-10,0.0,0.0,0.0
2005-05-11,0.0,0.0,0.0
2005-05-12,0.0,0.0,0.0
2005-05-13,0.0,0.0,0.0
2005-05-16,0.0,0.0,0.0
2005-05-17,0.0,0.0,0.0
2005-05-18,0.0,0.0,0.0
2005-05-19,0.0,0.0,0.0
2005-05-20,0.0,0.0,0.0
2005-05-23,0.0,0.0,0.0
2005-05-24,0.0,0.0,0.0
2005-05-25,0.0,0.0,0.0
2005-05-26,0.0,0.0,0.0
2005-05-27,0.0,0.0,0.0
2005-05-31,0.0,0.0,0.0
2005-06-01,0.0,0.0,0.0
2005-06-02,0.0,0.0,0.0
2005-06-03,0.0,0.0,0.0
2005-06-06,0.0,0.0,0.0
2005-06-07,0.0,0.0,0.0
2005-06-08,0.0,0.0,0.0
2005-06-09,0.0,0.0,0.0
2005-06-10,0.0,0.0,0.0
2005-06-13,0.0,0.0,0.0
2005-06-14,0.0,0.0,0.0
2005-06-15,0.0,0.0,0.0
2005-06-16,0.0,0.0,0.0
2005-06-17,0.0,0.0,0.0
2005-06-20,0.0,0.0,0.0
2005-06-21,0.0,0.0,0.0
2005-06-22,0.0,0.0,0.0
2005-06-23,0.0,0.0,0.0
2005-06-24,0.0,0.0,0.0
2005-06-27,0.0,0.0,0.0
2005-06-28,0.0,0.0,0.0
2005-06-29,0.0,0.0,0.0
2005-06-30,0.0,0.0,0.0
2005-07-01,0.0,0.0,0.0
2005-07-05,0.0,0.0,0.0
2005-07-06,0.0,0.0,0.0
2005-07-07,0.0,0.0,0.0
2005-07-08,0.0,0.0,0.0
2005-07-11,0.0,0.0,0.0
2005-07-12,0.0,0.0,0.0
2005-07-13,0.0,0.0,0.0
2005-07-14,0.0,0.0,0.0
2005-07-15,0.0,0.0,0.0
2005-07-18,0.0,0.0,0.0
2005-07-19,0.0,0.0,0.0
2005-07-20,0.0,0.0,0.0
2005-07-21,0.0,0.0,0.0
2005-07-22,0.0,0.0,0.0
2005-07-25,0.0,0.0,0.0
2005-07-26,0.0,0.0,0.0
2005-07-27,0.0,0.0,0.0
2005-07-28,0.0,0.0,0.0
2005-07-29,0.0,0.0,0.0
2005-08-01,0.0,0.0,0.0
2005-08-02,0.0,0.0,0.0
2005-08-03,0.0,0.0,0.0
2005-08-04,0.0,0.0,0.0
2005-08-05,0.0,0.0,0.0
2005-08-08,0.0,0.0,0.0
2005-08-09,0.0,0.0,0.0
2005-08-10,0.0,0.0,0.0
2005-08-11,0.0,0.0,0.0
2005-08-12,0.0,0.0,0.0
2005-08-15,0.0,0.0,0.0
2005-08-16,0.0,0.0,0.0
2005-08-17,0.0,0.0,0.0
2005-08-18,0.0,0.0,0.0
2005-08-19,0.0,0.0,0.0
2005-08-22,0.0,0.0,0.0
2005-08-23,0.0,0.0,0.0
2005-08-24,0.0,0.0,0.0
2005-08-25,0.0,0.0,0.0
2005-08-26,0.0,0.0,0.0
2005-08-29,0.0,0.0,0.0
2005-08-30,0.0,0.0,0.0
2005-08-31,0.0,0.0,0.0
2005-09-01,0.0,0.0,0.0
2005-09-02,0.0,0.0,0.0
2005-09-06,0.0,0.0,0.0
2005-09-07,0.0,0.0,0.0
2005-09-08,0.0,0.0,0.0
2005-09-09,0.0,0.0,0.0
2005-09-12,0.0,0.0,0.0
2005-09-13,0.0,0.0,0.0
2005-09-14,0.0,0.0,0.0
2005-09-15,0.0,0.0,0.0
2005-09-16,0.0,0.0,0.0
2005-09-19,0.0,0.0,0.0
2005-09-20,0.0,0.0,0.0
2005-09-21,0.0,0.0,0.0
2005-09-22,0.0,0.0,0.0
2005-09-23,0.0,0.0,0.0
2005-09-26,0.0,0.0,0.0
2005-09-27,0.0,0.0,0.0
2005-09-28,0.0,0.0,0.0
2005-09-29,0.0,0.0,0.0
2005-09-30,0.0,0.0,0.0
2005-10-03,0.0,0.0,0.0
2005-10-04,0.0,0.0,0.0
2005-10-05,0.0,0.0,0.0
2005-10-06,0.0,0.0,0.0
2005-10-07,0.0,0.0,0.0
2005-10-10,0.0,0.0,0.0
2005-10-11,0.0,0.0,0.0
2005-10-12,0.0,0.0,0.0
2005-10-13,0.0,0.0,0.0
2005-10-14,0.0,0.0,0.0
2005-10-17,0.0,0.0,0.0
2005-10-18,0.0,0.0,0.0
2005-10-19,0.0,0.0,0.0
2005-10-20,0.0,0.0,0.0
2005-10-21,0.0,0.0,0.0
2005-10-24,0.0,0.0,0.0
2005-10-25,0.0,0.0,0.0
2005-10-26,0.0,0.0,0.0
2005-10-27,0.0,0.0,0.0
2005-10-28,0.0,0.0,0.0
2005-10-31,0.0,0.0,0.0
2005-11-01,0.0,0.0,0.0
2005-11-02,0.0,0.0,0.0
2005-11-03,0.0,0.0,0.0
2005-11-04,0.0,0.0,0.0
2005-11-07,0.0,0.0,0.0
2005-11-08,0.0,0.0,0.0
2005-11-09,0.0,0.0,0.0
2005-11-10,0.0,0.0,0.0
2005-11-11,0.0,0.0,0.0
2005-11-14,0.0,0.0,0.0
2005-11-15,0.0,0.0,0.0
2005-11-16,0.0,0.0,0.0
2005-11-17,0.0,0.0,0.0
2005-11-18,0.0,0.0,0.0
2005-11-21,0.0,0.0,0.0
2005-11-22,0.0,0.0,0.0
2005-11-23,0.0,0.0,0.0
2005-11-25,0.0,0.0,0.0
2005-11-28,0.0,0.0,0.0
2005-11-29,0.0,0.0,0.0
2005-11-30,0.0,0.0,0.0
2005-12-01,0.0,0.0,0.0
2005-12-02,0.0,0.0,0.0
2005-12-05,0.0,0.0,0.0
2005-12-06,0.0,0.0,0.0
2005-12-07,0.0,0.0,0.0
2005-12-08,0.0,0.0,0.0
2005-12-09,0.0,0.0,0.0
2005-12-12,0.0,0.0,0.0
2005-12-13,0.0,0.0,0.0
2005-12-14,0.0,0.0,0.0
2005-12-15,0.0,0.0,0.0
2005-12-16,0.0,0.0,0.0
2005-12-19,0.0,0.0,0.0
2005-12-20,0.0,0.0,0.0
2005-12-21,0.0,0.0,0.0
2005-12-22,0.0,0.0,0.0
2005-12-23,0.0,0.0,0.0
2005-12-27,0.0,0.0,0.0
2005-12-28,0.0,0.0,0.0
2005-12-29,0.0,0.0,0.0
2005-12-30,0.0,0.0,0.0
2006-01-03,0.0,0.0,0.0
2006-01-04,0.0,0.0,0.0
2006-01-05,0.0,0.0,0.0
2006-01-06,0.0,0.0,0.0
2006-01-09,0.0,0.0,0.0
2006-01-10,0.0,0.0,0.0
2006-01-11,0.0,0.0,0.0
2006-01-12,0.0,0.0,0.0
2006-01-13,0.0,0.0,0.0
2006-01-17,0.0,0.0,0.0
2006-01-18,0.0,0.0,0.0
2006-01-19,0.0,0.0,0.0
2006-01-20,0.0,0.0,0.0
2006-01-23,0.0,0.0,0.0
2006-01-24,0.0,0.0,0.0
2006-01-25,0.0,0.0,0.0
2006-01-26,0.0,0.0,0.0
2006-01-27,0.0,0.0,0.0
2006-01-30,0.0,0.0,0.0
2006-01-31,0.0,0.0,0.0
2006-02-01,0.0,0.0,0.0
2006-02-02,0.0,0.0,0.0
2006-02-03,0.0,0.0,0.0
2006-02-06,0.0,0.0,0.0
2006-02-07,0.0,0.0,0.0
2006-02-08,0.0,0.0,0.0
2006-02-09,0.0,0.0,0.0
2006-02-10,0.0,0.0,0.0
2006-02-13,0.0,0.0,0.0
2006-02-14,0.0,0.0,0.0
2006-02-15,0.0,0.0,0.0
2006-02-16,0.0,0.0,0.0
2006-02-17,0.0,0.0,0.0
2006-02-21,0.0,0.0,0.0
2006-02-22,0.0,0.0,0.0
2006-02-23,0.0,0.0,0.0
2006-02-24,0.0,0.0,0.0
2006-02-27,0.0,0.0,0.0
2006-02-28,0.0,0.0,0.0
2006-03-01,0.0,0.0,0.0
2006-03-02,0.0,0.0,0.0
2006-03-03,0.0,0.0,0.0
2006-03-06,0.0,0.0,0.0
2006-03-07,0.0,0.0,0.0
2006-03-08,0.0,0.0,0.0
2006-03-09,0.0,0.0,0.0
2006-03-10,0.0,0.0,0.0
2006-03-13,0.0,0.0,0.0
2006-03-14,0.0,0.0,0.0
2006-03-15,0.0,0.0,0.0
2006-03-16,0.0,0.0,0.0
2006-03-17,0.0,0.0,0.0
2006-03-20,0.0,0.0,0.0
2006-03-21,0.0,0.0,0.0
2006-03-22,0.0,0.0,0.0
2006-03-23,0.0,0.0,0.0
2006-03-24,0.0,0.0,0.0
2006-03-27,0.0,0.0,0.0
2006-03-28,0.0,0.0,0.0
2006-03-29,0.0,0.0,0.0
2006-03-30,0.0,0.0,0.0
2006-03-31,0.0,0.0,0.0
2006-04-03,0.0,0.0,0.0
2006-04-04,0.05070652896192739,0.014047556823143516,0.025583954338884274
2006-04-05,0.04127891953431797,0.01924236201794871,0.020581549336479273
2006-04-06,0.04166371991911835,0.009429952205538897,0.018465147220077156
2006-04-07,0.04243332068871913,0.010776753552340245,0.020004348759278694
2006-04-10,0.02800330625870469,0.0044275472031338955,0.011731140486070421
2006-04-11,0.030119708375106812,0.007505950281536975,0.01057673933166927
2006-04-12,0.02126929952469796,0.012508355283941976,0.007113535868465806
2006-04-13,0.026079304334702774,0.019434762210348896,0.012115940870870808
2006-04-17,0.020499698755097193,0.027130769906356596,0.004612333367263304
2006-04-18,0.02511730337270181,0.02655356932915602,0.004035132790062727
2006-04-19,0.027233705489103924,0.02174356451915121,-0.014435285680355743
2006-04-20,0.03377531203071047,0.022320765096351787,-0.013858085103155164
2006-04-21,0.04262572088111931,0.035981178756765445,-0.018475689720759785
2006-04-24,0.039932118187516616,0.0371355799111666,-0.021169292414362474
2006-04-25,0.03127410952950797,0.035788778564365256,-0.03252090376597383
2006-04-26,0.029350107605506038,0.04098358375917045,-0.03617650742157748
2006-04-27,0.04358772184312028,0.04406198683757353,-0.03463730588237594
2006-04-28,0.044549722805121234,0.03271037548596217,-0.037523308768378824
2006-05-01,0.04762812588352432,0.025399168174754867,-0.04233331357838364
2006-05-02,0.05243813069352912,0.02482196759755429,-0.04348771473278479
2006-05-03,0.055131733387131815,0.01674115951674621,-0.04156371280878286
2006-05-04,0.04628132453672296,0.01924236201794871,-0.04348771473278479
2006-05-05,0.04070171895711738,0.017895560671147365,-0.046950918195988255
2006-05-08,0.03319811145350989,0.013085555861142554,-0.04348771473278479
2006-05-09,0.027618505873904305,0.007505950281536977,-0.04444971569478575
2006-05-10,0.02300090125629969,0.011546354321941016,-0.04348771473278479
2006-05-11,0.023578101833500262,-0.006539263763677067,-0.058110129355199415
2006-05-12,0.022423700679099108,0.0009643437399304359,-0.0656137368588069
2006-05-15,0.01434289259829103,-0.003845661070074374,-0.06195813320320325
2006-05-16,0.019345297600696032,-0.007308864533277837,-0.05118372242879249
2006-05-17,0.0012596795150779498,-0.018660475884889186,-0.06311253435760442
2006-05-18,0.011072089327487761,-0.01750607473048803,-0.0633049345500046
2006-05-19,0.006839285094683528,-0.01731367453808784,-0.07927415051922057
2006-05-22,-0.0006643224089239742,-0.019430076654489956,-0.08446895571402575
2006-05-23,-0.012977934722536286,-0.024240081464494766,-0.09216496341003348
2006-05-24,-0.016441138185739747,-0.02443248165689496,-0.09909137033644039
2006-05-25,-0.018172739917341477,-0.026548883773297078,-0.10476190476190474
2006-05-26,-0.019327141071742635,-0.02751088473529804,-0.11053391053391053
2006-05-30,-0.021058742803344365,-0.031166488390901692,-0.11957671957671957
2006-05-31,-0.02163594338054494,-0.02289328011769342,-0.10726310726310724
2006-06-01,-0.023559945304546866,-0.026933684158097458,-0.10572390572390572
2006-06-02,-0.026830748575350134,-0.027318484542897842,-0.10610870610870611
2006-06-05,-0.029139550884152446,-0.034244891469304775,-0.11207311207311206
2006-06-06,-0.019519541264142827,-0.041748498972912274,-0.11476671476671475
2006-06-07,-0.02144354318814475,-0.03424489146930477,-0.10918710918710918
2006-06-08,-0.023367545112146674,-0.028088085312498613,-0.11707551707551707
2006-06-09,-0.026830748575350134,-0.04232569955011285,-0.11707551707551707
2006-06-12,-0.029524351268952833,-0.04771290493731823,-0.12227032227032225
2006-06-13,-0.02548394722854879,-0.06849212571653902,-0.1259259259259259
2006-06-14,-0.020866342610944173,-0.06829972552413882,-0.12554112554112554
2006-06-15,-0.035296357040958605,-0.0811905384149517,-0.12400192400192399
2006-06-16,-0.03972156146616303,-0.08542334264775595,-0.11899951899951898
2006-06-19,-0.05973118147578303,-0.08975468975468974,-0.1213083213083213
2006-06-20,-0.059923581668183235,-0.09533429533429533,-0.12938912938912936
2006-06-21,-0.07512319686779842,-0.10072150072150071,-0.12727272727272723
2006-06-22,-0.080702802447404,-0.0886002886002886,-0.1338143338143338
2006-06-23,-0.08609908609908609,-0.08494468494468493,-0.14074074074074072
2006-06-26,-0.09206349206349204,-0.08725348725348722,-0.12727272727272726
2006-06-27,-0.09648869648869648,-0.09110149110149109,-0.11265031265031263
2006-06-28,-0.08552188552188551,-0.08455988455988454,-0.11688311688311687
2006-06-29,-0.08359788359788359,-0.07647907647907647,-0.12400192400192399
2006-06-30,-0.08263588263588262,-0.08148148148148147,-0.1368927368927369
2006-07-03,-0.08282828282828282,-0.07974987974987974,-0.14920634920634918
2006-07-05,-0.08282828282828282,-0.07609427609427608,-0.14785954785954783
2006-07-06,-0.073015873015873,-0.08783068783068783,-0.14516594516594516
2006-07-07,-0.07397787397787398,-0.08590668590668589,-0.14555074555074551
2006-07-10,-0.07493987493987493,-0.0909090909090909,-0.14708994708994708
2006-07-11,-0.07051467051467052,-0.08648388648388647,-0.13766233766233765
2006-07-12,-0.0805194805194805,-0.08956228956228955,-0.13419913419913418
2006-07-13,-0.07686387686387686,-0.09995189995189993,-0.14285714285714285
2006-07-14,-0.08379028379028378,-0.09629629629629628,-0.149013949013949
2006-07-17,-0.07859547859547858,-0.10283790283790283,-0.15055315055315055
2006-07-18,-0.08321308321308321,-0.10553150553150552,-0.14920634920634918
2006-07-19,-0.09244829244829243,-0.09398749398749397,-0.1467051467051467
2006-07-20,-0.08744588744588744,-0.0834054834054834,-0.15247715247715246
2006-07-21,-0.09283309283309282,-0.0909090909090909,-0.14054834054834053
2006-07-24,-0.09687349687349685,-0.09860509860509858,-0.14978354978354977
2006-07-25,-0.08763828763828763,-0.10918710918710918,-0.14324194324194323
2006-07-26,-0.07532467532467531,-0.12207792207792206,-0.1359307359307359
2006-07-27,-0.08167388167388166,-0.11822991822991821,-0.13496873496873496
2006-07-28,-0.088023088023088,-0.11726791726791726,-0.11976911976911975
2006-07-31,-0.10206830206830206,-0.11188071188071187,-0.12053872053872053
2006-08-01,-0.11361231361231361,-0.10860990860990859,-0.1392015392015392
2006-08-02,-0.11091871091871092,-0.1034151034151034,-0.134006734006734
2006-08-03,-0.11515151515151514,-0.10322270322270322,-0.12784992784992785
2006-08-04,-0.11091871091871092,-0.10976430976430974,-0.11996151996151995
2006-08-07,-0.1032227032227032,-0.11188071188071187,-0.1111111111111111
2006-08-08,-0.09764309764309763,-0.11168831168831168,-0.10149110149110148
2006-08-09,-0.0959114959114959,-0.11091871091871092,-0.10707070707070705
