ticker,eligible,reason,liq_size_proxy,addv_proxy,vol_coverage,in_universe,recon_date,prior_member,entered,exited
AAPL,True,eligible,5418478497.919566,5152606353.676987,1.0,True,2014-01-01,True,False,False
META,True,eligible,3475575832.6397324,3818479973.578759,1.0,True,2014-01-01,True,False,False
GOOGL,True,eligible,1642408277.200042,1809858460.3999329,1.0,True,2014-01-01,True,False,False
MSFT,True,eligible,1158488733.1916492,1216556471.013396,1.0,True,2014-01-01,True,False,False
AMZN,True,eligible,998743806.109492,1055332563.0349356,1.0,True,2014-01-01,True,False,False
MU,True,eligible,845106070.0276693,830605625.202082,1.0,True,2014-01-01,True,False,False
NFLX,True,eligible,782911122.6584753,1121710158.6741872,1.0,True,2014-01-01,True,False,False
INTC,True,eligible,561522159.9065781,561905980.4868547,1.0,True,2014-01-01,True,False,False
QCOM,True,eligible,492312578.31798553,494637999.5908465,1.0,True,2014-01-01,True,False,False
CRM,True,eligible,283025499.44627124,251129820.75350323,1.0,True,2014-01-01,True,False,False
ADBE,True,eligible,219113920.9642919,218798079.6308487,1.0,False,2014-01-01,False,False,False
AMAT,True,eligible,148779481.70390448,159095286.9561135,1.0,False,2014-01-01,False,False,False
TSM,True,eligible,125095241.40978177,127673558.47026734,1.0,False,2014-01-01,False,False,False
NVDA,True,eligible,104616007.13592768,105909525.2621136,1.0,False,2014-01-01,False,False,False
AVGO,True,eligible,85929105.1523288,84250893.00937879,1.0,False,2014-01-01,False,False,False
NOW,True,eligible,81232791.2856102,79981987.11710885,1.0,False,2014-01-01,False,False,False
LRCX,True,eligible,68961724.35863812,80552424.94763269,1.0,False,2014-01-01,False,False,False
ASML,True,eligible,65539779.50869242,86148652.4600801,1.0,False,2014-01-01,False,False,False
AMD,True,eligible,53711542.56852547,85460464.7804177,1.0,False,2014-01-01,False,False,False
ARM,False,not_live_yet<2023-09-14>,0.0,0.0,,False,2014-01-01,False,False,False
PLTR,False,seasoning_fail,0.0,0.0,,False,2014-01-01,False,False,False
SHOP,False,seasoning_fail,0.0,0.0,,False,2014-01-01,False,False,False
SMCI,False,addv_fail,0.0,2653217.8914622655,,False,2014-01-01,False,False,False
