ticker,eligible,reason,liq_size_proxy,addv_proxy,vol_coverage,in_universe,recon_date,prior_member,entered,exited
AAPL,True,eligible,4542499791.666577,5668634044.399665,1.0,True,2008-04-01,True,False,False
GOOGL,True,eligible,3520204084.111421,3962368979.2303753,1.0,True,2008-04-01,True,False,False
MSFT,True,eligible,1620235728.6103122,1998859820.1224825,1.0,True,2008-04-01,True,False,False
INTC,True,eligible,905022532.7496496,1087708627.9987032,1.0,True,2008-04-01,True,False,False
AMZN,True,eligible,674140709.5153332,840752053.687845,1.0,True,2008-04-01,True,False,False
QCOM,True,eligible,530659901.4555486,571405349.983512,1.0,True,2008-04-01,True,False,False
AMAT,True,eligible,439422266.1304156,401986401.48492694,1.0,True,2008-04-01,True,False,False
NVDA,True,eligible,339055675.72593296,385166007.0457478,1.0,True,2008-04-01,True,False,False
ADBE,True,eligible,315773437.3128446,322996524.2380566,1.0,True,2008-04-01,True,False,False
MU,True,eligible,151316304.00513807,151606644.31400147,1.0,False,2008-04-01,False,False,False
AMD,True,eligible,145250274.863952,184158821.62766683,1.0,True,2008-04-01,True,False,False
CRM,True,eligible,113379586.21967316,105180573.20409502,1.0,False,2008-04-01,False,False,False
TSM,True,eligible,108410590.61104627,94463966.52385516,1.0,False,2008-04-01,False,False,False
LRCX,True,eligible,91035278.4596761,97576955.92147963,1.0,False,2008-04-01,False,False,False
NFLX,True,eligible,66505818.40197941,58375408.620754875,1.0,False,2008-04-01,False,False,False
ASML,True,eligible,40765866.51472403,55591965.67393473,1.0,False,2008-04-01,False,False,False
ARM,False,seasoning_fail,0.0,0.0,,False,2008-04-01,False,False,False
META,False,seasoning_fail,0.0,0.0,,False,2008-04-01,False,False,False
AVGO,False,seasoning_fail,0.0,0.0,,False,2008-04-01,False,False,False
PLTR,False,seasoning_fail,0.0,0.0,,False,2008-04-01,False,False,False
NOW,False,seasoning_fail,0.0,0.0,,False,2008-04-01,False,False,False
SHOP,False,seasoning_fail,0.0,0.0,,False,2008-04-01,False,False,False
SMCI,False,addv_fail,0.0,1235311.7756275903,,False,2008-04-01,False,False,False
