feature,importance,model,fold
base_total_scale,0.10606476104846635,fragility,1
avg_corr_21,0.0857314135838714,fragility,1
turb_scale_weekly,0.08443528466507876,fragility,1
mom_mean,0.0745955140350996,fragility,1
rel_minus_mom,0.053708208831140546,fragility,1
stress_intensity,0.05310377914637454,fragility,1
base_exposure,0.05065276259686335,fragility,1
qqq_ret_21d,0.048005155263241624,fragility,1
recovery_intensity,0.04424445373895201,fragility,1
rel_minus_trend,0.04301963206251072,fragility,1
intensity_spread,0.037944006646323684,fragility,1
rel_top_mean,0.03464497777602371,fragility,1
qqq_drawdown,0.03320993699410529,fragility,1
avg_corr_63,0.03316175367292625,fragility,1
qqq_vol_21,0.03265695821771679,fragility,1
base_turnover,0.03176967011467684,fragility,1
rel_mean,0.02759781163348205,fragility,1
trend_mean,0.02663683960677893,fragility,1
breadth_63d,0.025295446951155633,fragility,1
vix_level,0.020859716122325542,fragility,1
xs_disp_21d,0.015593242132347198,fragility,1
vix_z_63,0.012787764221937906,fragility,1
xs_disp_5d,0.012663619488028603,fragility,1
qqq_ret_5d,0.0105245882346193,fragility,1
crisis_scale_weekly,0.0008507372327892149,fragility,1
crisis_state_weekly,0.00024196598316430094,fragility,1
corr_state_weekly,0.0,fragility,1
corr_scale_weekly,0.0,fragility,1
intensity_spread,0.16178359470522602,recovery,1
rel_minus_trend,0.14237284518020113,recovery,1
base_total_scale,0.12226435892006057,recovery,1
trend_mean,0.11400165139320322,recovery,1
stress_intensity,0.07080100640842378,recovery,1
rel_minus_mom,0.06941004065941554,recovery,1
turb_scale_weekly,0.06443012441523152,recovery,1
mom_mean,0.042402988467606054,recovery,1
recovery_intensity,0.04150469929371991,recovery,1
base_exposure,0.03148407728852955,recovery,1
avg_corr_63,0.02786090432975403,recovery,1
qqq_drawdown,0.01408888580466216,recovery,1
qqq_vol_21,0.01159711591985626,recovery,1
rel_top_mean,0.010449960909888282,recovery,1
vix_level,0.009690769449998552,recovery,1
breadth_63d,0.008515518394006669,recovery,1
vix_z_63,0.008501481180741156,recovery,1
base_turnover,0.008248687942500133,recovery,1
qqq_ret_21d,0.007969393332603965,recovery,1
rel_mean,0.007922601305925021,recovery,1
qqq_ret_5d,0.006753803178798128,recovery,1
avg_corr_21,0.006278656725000019,recovery,1
xs_disp_5d,0.005916099000799551,recovery,1
xs_disp_21d,0.0054133018960314085,recovery,1
crisis_scale_weekly,0.000244130860443929,recovery,1
crisis_state_weekly,9.330303737348244e-05,recovery,1
corr_state_weekly,0.0,recovery,1
corr_scale_weekly,0.0,recovery,1
base_total_scale,0.11632675125695308,fragility,2
turb_scale_weekly,0.10912122995589438,fragility,2
intensity_spread,0.07549820828760201,fragility,2
avg_corr_21,0.06454106942961266,fragility,2
base_exposure,0.061328453876966046,fragility,2
recovery_intensity,0.06041568515558627,fragility,2
stress_intensity,0.05518500019853532,fragility,2
avg_corr_63,0.044088529296171165,fragility,2
base_turnover,0.04253473033599965,fragility,2
xs_disp_21d,0.03974016891031551,fragility,2
rel_minus_mom,0.03471301606966591,fragility,2
rel_minus_trend,0.029637354566092046,fragility,2
rel_top_mean,0.02681167546792282,fragility,2
qqq_vol_21,0.02553208938296257,fragility,2
xs_disp_5d,0.025252334463342612,fragility,2
mom_mean,0.02486074170809124,fragility,2
trend_mean,0.024400043262908316,fragility,2
qqq_ret_21d,0.024038771307423837,fragility,2
vix_z_63,0.02293578377961189,fragility,2
rel_mean,0.021222732261421462,fragility,2
breadth_63d,0.01696872282416466,fragility,2
qqq_ret_5d,0.016795608020233648,fragility,2
vix_level,0.016403177818367285,fragility,2
qqq_drawdown,0.0155334860795069,fragility,2
crisis_scale_weekly,0.0030811432475006386,fragility,2
crisis_state_weekly,0.0030334930371480762,fragility,2
corr_state_weekly,0.0,fragility,2
corr_scale_weekly,0.0,fragility,2
intensity_spread,0.18179764964905745,recovery,2
base_total_scale,0.13393604585888857,recovery,2
recovery_intensity,0.10752470306404088,recovery,2
turb_scale_weekly,0.10115690809087749,recovery,2
rel_minus_mom,0.08201374692878301,recovery,2
stress_intensity,0.06725477280203264,recovery,2
avg_corr_63,0.051503347112532474,recovery,2
base_exposure,0.04518409392737814,recovery,2
mom_mean,0.03559588112404923,recovery,2
trend_mean,0.02636258784458231,recovery,2
qqq_vol_21,0.02171089152524348,recovery,2
avg_corr_21,0.01985542420670677,recovery,2
rel_minus_trend,0.01775650941521005,recovery,2
vix_level,0.01739243216572583,recovery,2
qqq_ret_21d,0.013517587229912259,recovery,2
qqq_ret_5d,0.012977749244558053,recovery,2
breadth_63d,0.008931033454975278,recovery,2
rel_top_mean,0.008545255426896345,recovery,2
xs_disp_21d,0.008392381008224235,recovery,2
qqq_drawdown,0.007652140724457683,recovery,2
vix_z_63,0.007478383970123809,recovery,2
xs_disp_5d,0.006939291789282027,recovery,2
rel_mean,0.006398290969547782,recovery,2
base_turnover,0.004318240943889752,recovery,2
crisis_scale_weekly,0.0029746104160300125,recovery,2
crisis_state_weekly,0.0028300411069943653,recovery,2
corr_state_weekly,0.0,recovery,2
corr_scale_weekly,0.0,recovery,2
base_total_scale,0.08924617641663621,fragility,3
intensity_spread,0.0836222128900915,fragility,3
base_turnover,0.07840831581157903,fragility,3
turb_scale_weekly,0.07717250236310615,fragility,3
rel_minus_mom,0.0767235771217258,fragility,3
base_exposure,0.05192036403828245,fragility,3
mom_mean,0.05083084917004196,fragility,3
recovery_intensity,0.05016439689224422,fragility,3
avg_corr_63,0.0476288466182222,fragility,3
rel_mean,0.039485355934996975,fragility,3
qqq_vol_21,0.037126807541481996,fragility,3
stress_intensity,0.035595475914429076,fragility,3
rel_minus_trend,0.032023801223529075,fragility,3
vix_level,0.02822210334307871,fragility,3
avg_corr_21,0.026006315817311887,fragility,3
