feature,importance,fold
avg_corr_21,,1
avg_corr_63,,1
xs_disp_5d,,1
xs_disp_21d,,1
breadth_63d,,1
qqq_vol_21,,1
qqq_vol_63,,1
qqq_ret_5d,,1
qqq_ret_21d,,1
qqq_drawdown,,1
vix_level,,1
vix_chg_5d,,1
vix_z_63,,1
crisis_state,,1
turb_scale,,1
corr_rho,,1
corr_scale,,1
trend_mean,,1
mom_mean,,1
rel_mean,,1
trend_top_mean,,1
mom_top_mean,,1
rel_top_mean,,1
rel_minus_mom,,1
rel_minus_trend,,1
n_members,,1
avg_corr_21,,2
avg_corr_63,,2
xs_disp_5d,,2
xs_disp_21d,,2
breadth_63d,,2
qqq_vol_21,,2
qqq_vol_63,,2
qqq_ret_5d,,2
qqq_ret_21d,,2
qqq_drawdown,,2
vix_level,,2
vix_chg_5d,,2
vix_z_63,,2
crisis_state,,2
turb_scale,,2
corr_rho,,2
corr_scale,,2
trend_mean,,2
mom_mean,,2
rel_mean,,2
trend_top_mean,,2
mom_top_mean,,2
rel_top_mean,,2
rel_minus_mom,,2
rel_minus_trend,,2
n_members,,2
avg_corr_21,,3
avg_corr_63,,3
xs_disp_5d,,3
xs_disp_21d,,3
breadth_63d,,3
qqq_vol_21,,3
qqq_vol_63,,3
qqq_ret_5d,,3
qqq_ret_21d,,3
qqq_drawdown,,3
vix_level,,3
vix_chg_5d,,3
vix_z_63,,3
crisis_state,,3
turb_scale,,3
corr_rho,,3
corr_scale,,3
trend_mean,,3
mom_mean,,3
rel_mean,,3
trend_top_mean,,3
mom_top_mean,,3
rel_top_mean,,3
rel_minus_mom,,3
rel_minus_trend,,3
n_members,,3
avg_corr_21,,4
avg_corr_63,,4
xs_disp_5d,,4
xs_disp_21d,,4
breadth_63d,,4
qqq_vol_21,,4
qqq_vol_63,,4
qqq_ret_5d,,4
qqq_ret_21d,,4
qqq_drawdown,,4
vix_level,,4
vix_chg_5d,,4
vix_z_63,,4
crisis_state,,4
turb_scale,,4
corr_rho,,4
corr_scale,,4
trend_mean,,4
mom_mean,,4
rel_mean,,4
trend_top_mean,,4
mom_top_mean,,4
rel_top_mean,,4
rel_minus_mom,,4
rel_minus_trend,,4
n_members,,4
avg_corr_21,,5
avg_corr_63,,5
xs_disp_5d,,5
xs_disp_21d,,5
breadth_63d,,5
qqq_vol_21,,5
qqq_vol_63,,5
qqq_ret_5d,,5
qqq_ret_21d,,5
qqq_drawdown,,5
vix_level,,5
vix_chg_5d,,5
vix_z_63,,5
crisis_state,,5
turb_scale,,5
corr_rho,,5
corr_scale,,5
trend_mean,,5
mom_mean,,5
rel_mean,,5
trend_top_mean,,5
mom_top_mean,,5
rel_top_mean,,5
rel_minus_mom,,5
rel_minus_trend,,5
n_members,,5
