vol_target_ann,weight_cap,Sharpe,CAGR%,MaxDD%
0.2,0.45,1.0278,19.18,-28.99
0.2,0.5,1.0351,19.36,-28.71
0.2,0.55,1.0405,19.48,-28.47
0.2,0.6,1.0454,19.58,-28.28
0.2,0.65,1.0512,19.71,-28.11
0.25,0.45,1.0057,21.77,-31.3
0.25,0.5,1.0122,21.94,-30.97
0.25,0.55,1.0181,22.07,-30.7
0.25,0.6,1.023,22.2,-30.48
0.25,0.65,1.0284,22.34,-30.28
0.3,0.45,0.9975,23.17,-32.62
0.3,0.5,1.0048,23.34,-32.25
0.3,0.55,1.01,23.45,-31.94
0.3,0.6,1.0143,23.56,-31.68
0.3,0.65,1.019,23.69,-31.44
0.35,0.45,0.969,22.89,-32.7
0.35,0.5,0.9765,23.06,-32.31
0.35,0.55,0.982,23.18,-32.0
0.35,0.6,0.9866,23.31,-31.72
0.35,0.65,0.9915,23.44,-31.47
0.4,0.45,0.9501,22.45,-32.7
0.4,0.5,0.9585,22.65,-32.31
0.4,0.55,0.9651,22.8,-32.0
0.4,0.6,0.9704,22.94,-31.72
0.4,0.65,0.9757,23.08,-31.47
