ticker,eligible,reason,liq_size_proxy,addv_proxy,vol_coverage,in_universe,recon_date,prior_member,entered,exited
AAPL,True,eligible,9916368689.614983,10403224702.888874,1.0,True,2013-01-01,True,False,False
META,True,eligible,1773434428.2056682,1467773795.7352169,1.0,True,2013-01-01,True,False,False
GOOGL,True,eligible,1520263015.6595924,1798911137.844452,1.0,True,2013-01-01,True,False,False
MSFT,True,eligible,1139874402.0384471,1212825779.5984905,1.0,True,2013-01-01,True,False,False
AMZN,True,eligible,790086870.0335821,817575739.1123394,1.0,True,2013-01-01,True,False,False
INTC,True,eligible,687024321.0883999,741752331.8827658,1.0,True,2013-01-01,True,False,False
QCOM,True,eligible,518220556.76207227,515803197.38250613,1.0,True,2013-01-01,True,False,False
NFLX,True,eligible,314906626.5113752,381255597.80652654,1.0,True,2013-01-01,True,False,False
CRM,True,eligible,297005405.3696696,265687664.19176373,1.0,True,2013-01-01,True,False,False
ADBE,True,eligible,168000493.1561788,143102667.373851,1.0,False,2013-01-01,False,False,False
MU,True,eligible,144092008.22691283,140036565.00125006,1.0,True,2013-01-01,True,False,False
NVDA,True,eligible,114700197.18661308,120241471.98106562,1.0,False,2013-01-01,False,False,False
ASML,True,eligible,107336544.66324323,146187731.52524936,1.0,False,2013-01-01,False,False,False
AMAT,True,eligible,102439358.91905785,111501375.46855988,1.0,False,2013-01-01,False,False,False
TSM,True,eligible,102196431.9357713,114602554.57892342,1.0,False,2013-01-01,False,False,False
LRCX,True,eligible,78324999.9977827,94756496.92465389,1.0,False,2013-01-01,False,False,False
AVGO,True,eligible,73036228.1078577,55620024.18587321,1.0,False,2013-01-01,False,False,False
AMD,True,eligible,57624322.44882822,66813863.5056806,1.0,False,2013-01-01,False,False,False
ARM,False,not_live_yet<2023-09-14>,0.0,0.0,,False,2013-01-01,False,False,False
PLTR,False,seasoning_fail,0.0,0.0,,False,2013-01-01,False,False,False
NOW,False,addv_fail,0.0,27426969.139507838,,False,2013-01-01,False,False,False
SHOP,False,seasoning_fail,0.0,0.0,,False,2013-01-01,False,False,False
SMCI,False,addv_fail,0.0,2191781.2131009405,,False,2013-01-01,False,False,False
