weight_cap,k_atr,turb_zscore_thr,turb_scale_min,vol_target_ann,score_val,VAL_CAGR%,VAL_Sharpe,VAL_Sharpe_CI,VAL_SR_tstat,VAL_SR_pval,VAL_MaxDD%,VAL_TurnoverAnn,SR_sig_BHY,SR_tstat_above_HLZ_tmin
0.65,2.5,1.5,0.25,0.35,0.9038327849460808,37.582,1.3406,"[0.358, 2.323]",2.674,0.0075,-16.731,12.038,False,False
0.55,2.5,1.5,0.25,0.35,0.892696536257454,37.284,1.3318,"[0.349, 2.314]",2.656,0.0079,-16.731,12.034,False,False
0.65,2.5,1.0,0.4,0.35,0.8882435744453181,36.856,1.3506,"[0.368, 2.333]",2.694,0.00707,-17.726,11.665,False,False
0.65,2.5,1.5,0.25,0.3,0.8834688450600922,35.823,1.3178,"[0.335, 2.300]",2.628,0.00858,-15.693,11.773,False,False
0.65,2.5,1.0,0.25,0.35,0.8811273573147311,35.931,1.3355,"[0.353, 2.318]",2.664,0.00773,-16.629,11.278,False,False
0.55,2.5,1.0,0.4,0.35,0.877405092076009,36.575,1.342,"[0.359, 2.325]",2.676,0.00744,-17.726,11.662,False,False
0.55,2.5,1.5,0.25,0.3,0.8719216366564475,35.529,1.3087,"[0.326, 2.291]",2.61,0.00904,-15.693,11.77,False,False
0.55,2.5,1.0,0.25,0.35,0.8704762070009462,35.662,1.327,"[0.344, 2.310]",2.647,0.00813,-16.629,11.275,False,False
0.65,2.5,1.5,0.4,0.35,0.868400493139198,37.435,1.328,"[0.345, 2.311]",2.649,0.00808,-18.061,12.32,False,False
0.65,2.5,1.0,0.4,0.3,0.8631595411028521,35.074,1.3268,"[0.344, 2.309]",2.646,0.00813,-16.842,11.384,False,False
0.65,2.5,1.5,0.25,0.25,0.8612458096970448,32.976,1.3223,"[0.340, 2.305]",2.637,0.00835,-13.72,11.289,False,False
0.55,2.5,1.5,0.4,0.35,0.8574565958488124,37.136,1.3193,"[0.337, 2.302]",2.631,0.0085,-18.061,12.317,False,False
0.65,2.5,1.0,0.25,0.3,0.8572642162794243,34.16,1.3114,"[0.329, 2.294]",2.616,0.0089,-15.734,10.997,False,False
0.55,2.5,1.0,0.4,0.3,0.8520074160782283,34.796,1.3179,"[0.335, 2.301]",2.629,0.00857,-16.842,11.381,False,False
0.65,2.5,1.5,0.4,0.3,0.8502490882024776,35.678,1.3048,"[0.322, 2.287]",2.603,0.00925,-17.039,12.056,False,False
0.55,2.5,1.5,0.25,0.25,0.8482510241616688,32.662,1.3119,"[0.329, 2.295]",2.617,0.00888,-13.72,11.283,False,False
0.55,2.5,1.0,0.25,0.3,0.8462770457192845,33.895,1.3027,"[0.320, 2.285]",2.598,0.00936,-15.734,10.994,False,False
0.65,2.5,1.0,0.4,0.25,0.8402178288262243,32.284,1.3333,"[0.351, 2.316]",2.659,0.00783,-14.855,10.908,False,False
0.55,2.5,1.5,0.4,0.3,0.8390058746589684,35.382,1.2958,"[0.313, 2.278]",2.585,0.00975,-17.039,12.052,False,False
0.65,2.5,1.0,0.25,0.25,0.8380687550857524,31.389,1.3181,"[0.336, 2.301]",2.629,0.00856,-13.72,10.521,False,False
0.55,2.5,1.0,0.4,0.25,0.8275151260351604,31.984,1.3229,"[0.340, 2.306]",2.639,0.00832,-14.855,10.901,False,False
0.55,2.5,1.0,0.25,0.25,0.8254585347769904,31.102,1.3079,"[0.325, 2.291]",2.609,0.00909,-13.72,10.514,False,False
0.65,2.5,1.5,0.4,0.25,0.8233708885476698,32.834,1.3072,"[0.325, 2.290]",2.607,0.00912,-15.098,11.571,False,False
0.55,2.5,1.5,0.4,0.25,0.8106938583252902,32.518,1.2968,"[0.314, 2.279]",2.587,0.00969,-15.098,11.565,False,False
0.65,3.0,1.0,0.4,0.35,0.6108897782306993,29.188,1.183,"[0.201, 2.165]",2.36,0.01825,-21.3,10.805,False,False
0.65,3.0,1.5,0.25,0.35,0.6096057623812737,29.408,1.1712,"[0.189, 2.153]",2.337,0.01945,-20.352,11.059,False,False
0.55,3.0,1.0,0.4,0.35,0.6076577359932709,29.127,1.1799,"[0.198, 2.162]",2.354,0.01856,-21.3,10.779,False,False
0.65,3.0,1.5,0.25,0.3,0.6069363806712551,28.94,1.1634,"[0.181, 2.146]",2.321,0.02027,-19.371,10.971,False,False
